txn_id,account_id,timestamp,amount,txn_type,merchant,city,lat,lon,status,is_fraud,fraud_type,velocity_flag,geo_flag,notes
TXN-879769,ACC-00001,2025-01-01 01:47:38.331458,8.06,Wire,DoorDash,"Denver, US",39.785278939627965,-105.01572205316374,Approved,False,,False,False,
TXN-276578,ACC-00170,2025-01-01 02:06:21.098228,43.14,POS,Delta Airlines,"Miami, US",25.768002890497428,-80.21419867784641,Approved,False,,False,False,
TXN-332665,ACC-00076,2025-01-01 02:09:16.473251,32.52,P2P,DoorDash,"London, UK",51.470027861754936,-0.1291656456883543,Approved,False,,False,False,
TXN-769836,ACC-00143,2025-01-01 02:10:15.559199,556.82,POS,Home Depot,"Dallas, US",32.74798039097936,-96.77340231702719,Approved,False,,False,False,
TXN-906824,ACC-00090,2025-01-01 02:15:59.861623,171.57,P2P,Amazon,"Dallas, US",32.78838817936939,-96.8066741640583,Approved,False,,False,False,
TXN-961010,ACC-00072,2025-01-01 02:20:25.480494,38.62,P2P,Target,"Denver, US",39.783414867041884,-104.97891017161982,Approved,False,,False,False,
TXN-786341,ACC-00135,2025-01-01 02:21:34.737134,79.44,ATM,Netflix,"Austin, US",30.259803404595246,-97.72504392632939,Approved,False,,False,False,
TXN-603518,ACC-00015,2025-01-01 02:38:00.513841,119.77,Wire,Delta Airlines,"Boston, US",42.37613529421671,-71.04925280578277,Approved,False,,False,False,
TXN-635218,ACC-00041,2025-01-01 02:39:47.213245,70.33,POS,Home Depot,"Chicago, US",41.863898029463705,-87.65639026730851,Approved,False,,False,False,
TXN-194578,ACC-00176,2025-01-01 02:41:27.388704,5.71,P2P,Amazon,"Boston, US",42.33419380945896,-71.06112132609334,Approved,False,,False,False,
TXN-473973,ACC-00158,2025-01-01 02:46:51.685296,70.82,POS,Amazon,"Los Angeles, US",34.03844417793165,-118.20135644909601,Approved,False,,False,False,
TXN-414021,ACC-00159,2025-01-01 02:47:56.803617,20.78,ACH,Costco,"London, UK",51.48670592877577,-0.11197236906700817,Approved,False,,False,False,
TXN-929053,ACC-00023,2025-01-01 02:54:23.452301,26.99,ACH,Amazon,"Chicago, US",41.88559319473523,-87.66600620375081,Approved,False,,False,False,
TXN-551730,ACC-00080,2025-01-01 02:54:26.295895,31.97,Online,Delta Airlines,"Los Angeles, US",34.00169885643762,-118.21244684976833,Approved,False,,False,False,
TXN-144033,ACC-00075,2025-01-01 02:55:44.373834,155.55,Wire,Costco,"Dallas, US",32.776427735723615,-96.84001910849423,Approved,False,,False,False,
TXN-879243,ACC-00026,2025-01-01 03:04:16.187886,1579.21,ACH,DoorDash,"Los Angeles, US",34.02109354193282,-118.2211115816481,Approved,False,,False,False,
TXN-821726,ACC-00123,2025-01-01 03:09:34.645914,22.93,Online,Home Depot,"Seattle, US",47.62335985266888,-122.3703984000873,Approved,False,,False,False,
TXN-921110,ACC-00154,2025-01-01 03:15:27.125716,184.2,POS,Shell Gas,"Chicago, US",41.899621350274984,-87.64048350316787,Approved,False,,False,False,
TXN-945411,ACC-00119,2025-01-01 03:15:47.440858,83.13,Online,Shell Gas,"Boston, US",42.389660179983466,-71.09732210554121,Approved,False,,False,False,
TXN-201191,ACC-00187,2025-01-01 03:22:09.646097,154.66,ATM,DoorDash,"Austin, US",30.314548993284827,-97.70663950660993,Approved,False,,False,False,
TXN-220253,ACC-00145,2025-01-01 03:31:18.676330,1253.69,POS,Costco,"Boston, US",42.356462493405346,-71.02955605136886,Approved,False,,False,False,
TXN-973128,ACC-00047,2025-01-01 03:33:52.434065,69.57,POS,Amazon,"New York, US",40.71594783407874,-74.0262079570593,Approved,False,,False,False,
TXN-444844,ACC-00191,2025-01-01 03:34:31.929514,80.06,P2P,Best Buy,"Lagos, NG",6.567419343360398,3.342448555645325,Approved,False,,False,False,
TXN-907437,ACC-00015,2025-01-01 03:47:04.215414,21.42,POS,Best Buy,"Denver, US",39.72110489810444,-104.9537795390527,Approved,False,,False,False,
TXN-204574,ACC-00035,2025-01-01 03:51:59.895258,102.27,Online,Amazon,"New York, US",40.74341155753963,-73.99972571643833,Approved,False,,False,False,
TXN-785864,ACC-00102,2025-01-01 03:54:00.562610,41.37,P2P,Walmart,"Boston, US",42.31363665448525,-71.01792251366975,Approved,False,,False,False,
TXN-847948,ACC-00104,2025-01-01 04:01:50.357967,26.66,Wire,Airbnb,"Boston, US",42.38968595854412,-71.081123611136,Approved,False,,False,False,
TXN-867333,ACC-00106,2025-01-01 04:04:29.068355,89.87,P2P,Delta Airlines,"Houston, US",29.736280269414703,-95.3477713961872,Approved,False,,False,False,
TXN-971437,ACC-00123,2025-01-01 04:05:33.668376,162.4,ACH,Apple Store,"Miami, US",25.815718797068712,-80.22177010333003,Approved,False,,False,False,
TXN-905459,ACC-00066,2025-01-01 04:08:16.368098,185.96,Wire,Netflix,"Los Angeles, US",34.02605592354057,-118.26059488783496,Approved,False,,False,False,
TXN-643341,ACC-00180,2025-01-01 04:13:49.561461,284.75,P2P,Best Buy,"Austin, US",30.249018748403554,-97.77385958231191,Approved,False,,False,False,
TXN-469755,ACC-00104,2025-01-01 04:26:52.892304,100.85,Online,Apple Store,"Boston, US",42.31382649025399,-71.03007513122722,Approved,False,,False,False,
TXN-817684,ACC-00061,2025-01-01 04:28:36.686396,396.82,P2P,McDonald's,"London, UK",51.533822774803795,-0.12528179624788913,Approved,False,,False,False,
TXN-217348,ACC-00145,2025-01-01 04:33:04.684000,246.1,ACH,Target,"Los Angeles, US",34.021909445128074,-118.19848659799904,Approved,False,,False,False,
TXN-327538,ACC-00009,2025-01-01 04:35:12.675122,91.07,POS,DoorDash,"New York, US",40.704339887085936,-74.03244745447597,Approved,False,,False,False,
TXN-932978,ACC-00028,2025-01-01 04:56:31.946382,41.46,Wire,Apple Store,"Seattle, US",47.59579218365508,-122.33902437694717,Approved,False,,False,False,
TXN-837801,ACC-00025,2025-01-01 05:02:24.789766,55.94,P2P,Apple Store,"Dallas, US",32.74754949138385,-96.76438534957265,Approved,False,,False,False,
TXN-825452,ACC-00168,2025-01-01 05:12:24.746763,175.11,ATM,Amazon,"Miami, US",25.800609674685795,-80.16633169383367,Approved,False,,False,False,
TXN-801534,ACC-00122,2025-01-01 05:13:30.338188,15.23,ACH,McDonald's,"Miami, US",25.73133799994465,-80.22241861949948,Approved,False,,False,False,
TXN-876487,ACC-00019,2025-01-01 05:20:10.073591,40.04,Online,Target,"Miami, US",25.743181563520288,-80.23077290175785,Approved,False,,False,False,
TXN-592718,ACC-00048,2025-01-01 05:20:14.322463,43.73,POS,Shell Gas,"Los Angeles, US",34.0111292102818,-118.24570841121003,Approved,False,,False,False,
TXN-241647,ACC-00080,2025-01-01 05:20:49.930477,69.05,Online,Starbucks,"London, UK",51.47787195978329,-0.12409061703465034,Approved,False,,False,False,
TXN-583232,ACC-00127,2025-01-01 05:26:27.033175,26.29,ACH,Uber,"Austin, US",30.285854852545924,-97.72038239324975,Approved,False,,False,False,
TXN-685498,ACC-00072,2025-01-01 05:37:36.212610,16.9,ACH,Delta Airlines,"Chicago, US",41.92809526190075,-87.6282640907334,Approved,False,,False,False,
TXN-813080,ACC-00199,2025-01-01 05:42:15.082181,33.51,POS,Starbucks,"Chicago, US",41.90706947663194,-87.67246322841466,Approved,False,,False,False,
TXN-713455,ACC-00012,2025-01-01 05:47:19.701022,177.15,Wire,Netflix,"Houston, US",29.771128183154286,-95.37638120407445,Approved,False,,False,False,
TXN-901075,ACC-00031,2025-01-01 05:47:45.199625,396.46,Wire,DoorDash,"Boston, US",42.334486345397096,-71.03779537367636,Approved,False,,False,False,
TXN-514118,ACC-00061,2025-01-01 05:52:34.290728,79.1,POS,Best Buy,"Los Angeles, US",34.09477254312153,-118.20029611331222,Approved,False,,False,False,
TXN-605595,ACC-00198,2025-01-01 05:56:06.415569,15.34,Online,Home Depot,"London, UK",51.46911708458712,-0.10664133999151318,Approved,False,,False,False,
TXN-711324,ACC-00082,2025-01-01 06:01:53.155627,211.72,ACH,Delta Airlines,"Miami, US",25.81302460839438,-80.22794594714806,Approved,False,,False,False,
TXN-705445,ACC-00077,2025-01-01 06:08:22.722689,65.25,ACH,Shell Gas,"Houston, US",29.786140944648245,-95.38857197275489,Approved,False,,False,False,
TXN-501172,ACC-00113,2025-01-01 06:10:56.282553,47.7,POS,Shell Gas,"Seattle, US",47.583917774649095,-122.35940557466319,Approved,False,,False,False,
TXN-152042,ACC-00165,2025-01-01 06:21:42.085069,7.56,P2P,Shell Gas,"Dallas, US",32.82724966426857,-96.82720425863982,Approved,False,,False,False,
TXN-571351,ACC-00054,2025-01-01 06:26:16.481062,301.09,POS,Target,"Houston, US",29.808818466841814,-95.35856366574748,Approved,False,,False,False,
TXN-441958,ACC-00173,2025-01-01 06:27:55.918023,61.35,P2P,Netflix,"Dallas, US",32.812923129011104,-96.81846533533208,Approved,False,,False,False,
TXN-394790,ACC-00059,2025-01-01 06:29:18.195540,213.37,Online,Shell Gas,"Boston, US",42.40956705690216,-71.06539320200159,Approved,False,,False,False,
TXN-124085,ACC-00035,2025-01-01 06:48:03.460065,58.9,P2P,Starbucks,"Denver, US",39.759986261414966,-105.00187653877589,Approved,False,,False,False,
TXN-402001,ACC-00030,2025-01-01 06:49:28.816698,485.37,Wire,Walmart,"Lagos, NG",6.5196635600841555,3.388017624328594,Approved,False,,False,False,
TXN-895807,ACC-00068,2025-01-01 06:57:28.758660,17.95,ATM,Shell Gas,"Houston, US",29.72662241421753,-95.33711005280774,Approved,False,,False,False,
TXN-976950,ACC-00019,2025-01-01 06:58:58.819125,11.79,Online,Target,"Denver, US",39.74783956824232,-104.96225729136752,Approved,False,,False,False,
TXN-158045,ACC-00086,2025-01-01 07:02:00.203987,94.15,Wire,Delta Airlines,"Austin, US",30.252610346159823,-97.70666192986334,Approved,False,,False,False,
TXN-359409,ACC-00186,2025-01-01 07:02:53.571460,500.61,ACH,Amazon,"Dallas, US",32.82441366982083,-96.75508835816369,Approved,False,,False,False,
TXN-961866,ACC-00049,2025-01-01 07:07:04.979417,77.8,POS,Target,"New York, US",40.68630919979645,-74.02291648739573,Approved,False,,False,False,
TXN-940946,ACC-00020,2025-01-01 07:13:40.839159,153.17,Online,Starbucks,"Dallas, US",32.803909075040615,-96.76474360607067,Approved,False,,False,False,
TXN-895338,ACC-00047,2025-01-01 07:22:24.692376,25.37,Online,Shell Gas,"Houston, US",29.762195755887195,-95.33710184173255,Approved,False,,False,False,
TXN-536770,ACC-00165,2025-01-01 07:26:32.669110,19.96,ATM,Airbnb,"Boston, US",42.36021903919492,-71.05920731758047,Approved,False,,False,False,
TXN-700815,ACC-00161,2025-01-01 07:33:09.999760,512.61,Online,Uber,"Boston, US",42.35186795629742,-71.07771418380307,Approved,False,,False,False,
TXN-636603,ACC-00171,2025-01-01 07:33:23.477148,51.53,P2P,McDonald's,"London, UK",51.5199700276766,-0.164135928061779,Approved,False,,False,False,
TXN-863124,ACC-00099,2025-01-01 07:34:37.769807,17.13,Wire,CVS Pharmacy,"New York, US",40.69273009217261,-74.0046908604676,Approved,False,,False,False,
TXN-826648,ACC-00172,2025-01-01 07:34:57.149850,118.02,Wire,Target,"New York, US",40.68144517972969,-73.97703037462165,Approved,False,,False,False,
TXN-707497,ACC-00031,2025-01-01 07:35:24.683370,37.89,Online,Target,"Miami, US",25.794575531485588,-80.23888775695468,Approved,False,,False,False,
TXN-934739,ACC-00050,2025-01-01 07:46:07.614857,37.22,P2P,Best Buy,"Boston, US",42.376135045841174,-71.01731709275158,Approved,False,,False,False,
TXN-988075,ACC-00108,2025-01-01 07:46:17.086771,37.36,ATM,Starbucks,"London, UK",51.54121677995158,-0.10157510704408745,Approved,False,,False,False,
TXN-196407,ACC-00168,2025-01-01 07:46:25.518350,92.19,POS,Best Buy,"Los Angeles, US",34.00212133796241,-118.21410589687765,Approved,False,,False,False,
TXN-419625,ACC-00055,2025-01-01 07:56:23.425260,85.3,Wire,Starbucks,"Lagos, NG",6.488977583621964,3.3486626728949105,Approved,False,,False,False,
TXN-630374,ACC-00049,2025-01-01 08:05:14.258153,17.65,POS,CVS Pharmacy,"New York, US",40.67377267431078,-74.01300397108989,Approved,False,,False,False,
TXN-736450,ACC-00199,2025-01-01 08:05:59.385621,35.97,Wire,Home Depot,"Boston, US",42.34997120689201,-71.062136429125,Approved,False,,False,False,
TXN-575718,ACC-00034,2025-01-01 08:10:16.222787,25.86,POS,Walmart,"Austin, US",30.236760039675247,-97.7501255197255,Approved,False,,False,False,
TXN-721748,ACC-00021,2025-01-01 08:19:10.526156,65.45,POS,McDonald's,"Lagos, NG",6.476349830116159,3.420888052331068,Approved,False,,False,False,
TXN-738622,ACC-00127,2025-01-01 08:22:32.066021,44.14,P2P,Apple Store,"Los Angeles, US",34.05333751609991,-118.25328656569225,Approved,False,,False,False,
TXN-228864,ACC-00007,2025-01-01 08:25:23.448517,282.05,ACH,Shell Gas,"New York, US",40.68407018624763,-73.98497875490051,Approved,False,,False,False,
TXN-814407,ACC-00088,2025-01-01 08:30:56.128690,99.05,ATM,Amazon,"Los Angeles, US",34.001621999614756,-118.26042159280101,Approved,False,,False,False,
TXN-183336,ACC-00076,2025-01-01 08:33:20.569095,1261.21,POS,Home Depot,"Austin, US",30.270599469263058,-97.71009747215906,Approved,False,,False,False,
TXN-919800,ACC-00100,2025-01-01 08:38:38.590032,94.49,P2P,DoorDash,"Chicago, US",41.863858853682515,-87.672397350864,Approved,False,,False,False,
TXN-904016,ACC-00168,2025-01-01 08:39:59.239667,375.89,POS,Amazon,"London, UK",51.464791044940654,-0.17197956414239735,Approved,False,,False,False,
TXN-769900,ACC-00185,2025-01-01 08:45:48.472023,81.55,ACH,CVS Pharmacy,"Chicago, US",41.89935859548752,-87.60020622519457,Approved,False,,False,False,
TXN-102565,ACC-00108,2025-01-01 08:48:12.689346,184.23,ACH,Netflix,"Chicago, US",41.83796900715827,-87.62395428709264,Approved,False,,False,False,
TXN-755520,ACC-00017,2025-01-01 08:49:23.334211,138.82,POS,Costco,"Miami, US",25.795456025009727,-80.17986458534692,Approved,False,,False,False,
TXN-608307,ACC-00169,2025-01-01 08:57:13.581753,66.36,POS,Shell Gas,"New York, US",40.67424019730879,-74.01595918804824,Approved,False,,False,False,
TXN-935294,ACC-00095,2025-01-01 09:08:53.958829,88.44,P2P,McDonald's,"Denver, US",39.78994435774216,-105.02607888543429,Approved,False,,False,False,
TXN-249809,ACC-00061,2025-01-01 09:10:36.169003,50.96,POS,DoorDash,"Boston, US",42.396455797835294,-71.07769773360506,Approved,False,,False,False,
TXN-795781,ACC-00027,2025-01-01 09:22:16.982798,78.75,Wire,Shell Gas,"London, UK",51.46426963190904,-0.13390050779980595,Approved,False,,False,False,
TXN-954142,ACC-00195,2025-01-01 09:25:59.261554,67.06,ACH,CVS Pharmacy,"Miami, US",25.79199429938344,-80.15197738075503,Approved,False,,False,False,
TXN-582589,ACC-00050,2025-01-01 09:28:15.012186,465.12,ACH,Target,"Austin, US",30.267487178632734,-97.73562650465067,Approved,False,,False,False,
TXN-639915,ACC-00110,2025-01-01 09:32:00.217871,35.13,Wire,Costco,"Chicago, US",41.91107194148525,-87.60886933177807,Approved,False,,False,False,
TXN-442360,ACC-00131,2025-01-01 09:35:05.079940,31.63,P2P,Apple Store,"New York, US",40.67438168397415,-73.96544046009511,Approved,False,,False,False,
TXN-252627,ACC-00004,2025-01-01 09:35:49.164331,67.04,P2P,Amazon,"Los Angeles, US",34.01958360853946,-118.25390086224228,Approved,False,,False,False,
TXN-434168,ACC-00038,2025-01-01 09:40:13.935410,63.71,Online,Starbucks,"Dallas, US",32.78197058001845,-96.78681423925032,Approved,False,,False,False,
TXN-346184,ACC-00078,2025-01-01 09:43:50.382302,1821.33,ACH,Delta Airlines,"Dallas, US",32.82875757487026,-96.76478697684853,Approved,False,,False,False,
TXN-873637,ACC-00134,2025-01-01 09:44:57.530454,266.5,Wire,CVS Pharmacy,"Los Angeles, US",34.07508575194726,-118.2448500815969,Approved,False,,False,False,
TXN-551313,ACC-00075,2025-01-01 10:21:51.536183,1392.7,ACH,Airbnb,"Chicago, US",41.837036561357266,-87.63829103890242,Approved,False,,False,False,
TXN-533973,ACC-00024,2025-01-01 10:22:26.597270,142.39,Online,Amazon,"Dallas, US",32.825258049491026,-96.84684014768101,Approved,False,,False,False,
TXN-184120,ACC-00019,2025-01-01 10:24:35.192973,122.91,Wire,CVS Pharmacy,"London, UK",51.528441313585716,-0.1318261581183694,Approved,False,,False,False,
TXN-622112,ACC-00008,2025-01-01 10:24:45.378866,60.99,ATM,Netflix,"Chicago, US",41.9065076857528,-87.63022494606174,Approved,False,,False,False,
TXN-166758,ACC-00106,2025-01-01 10:29:10.185173,72.48,ATM,Best Buy,"Chicago, US",41.83820088783955,-87.66316201926385,Approved,False,,False,False,
TXN-822494,ACC-00083,2025-01-01 10:30:55.449175,46.82,P2P,Home Depot,"Miami, US",25.79995408991103,-80.21159075924758,Approved,False,,False,False,
TXN-696289,ACC-00072,2025-01-01 10:31:37.298394,201.67,Wire,Delta Airlines,"Miami, US",25.73947305893147,-80.22915991179318,Approved,False,,False,False,
TXN-887619,ACC-00095,2025-01-01 10:32:06.241873,100.31,Online,DoorDash,"Miami, US",25.818850127846453,-80.19019400218887,Approved,False,,False,False,
TXN-464158,ACC-00089,2025-01-01 10:40:49.973617,65.7,POS,Netflix,"Dallas, US",32.75516997377889,-96.8253409931653,Approved,False,,False,False,
TXN-403986,ACC-00150,2025-01-01 10:42:16.042437,139.52,Online,Netflix,"Miami, US",25.74207347081523,-80.16799095821388,Approved,False,,False,False,
TXN-127521,ACC-00130,2025-01-01 10:43:02.180351,24.68,POS,Amazon,"London, UK",51.54617009442894,-0.17631808380765587,Approved,False,,False,False,
TXN-391469,ACC-00158,2025-01-01 11:04:19.301609,191.84,POS,Shell Gas,"Dallas, US",32.797610038500814,-96.76311403767012,Approved,False,,False,False,
TXN-952624,ACC-00132,2025-01-01 11:19:06.541095,88.94,Online,Amazon,"Chicago, US",41.8325996862341,-87.63386051295981,Approved,False,,False,False,
TXN-875369,ACC-00138,2025-01-01 11:25:02.977002,53.85,Online,Netflix,"New York, US",40.745935862414086,-73.96442882986933,Approved,False,,False,False,
TXN-173832,ACC-00101,2025-01-01 11:26:03.744376,82.84,ACH,McDonald's,"Miami, US",25.75707851222296,-80.1509847803838,Approved,False,,False,False,
TXN-726667,ACC-00034,2025-01-01 11:35:13.224398,45.28,P2P,Netflix,"Houston, US",29.74111882402276,-95.33147780899618,Approved,False,,False,False,
TXN-174200,ACC-00111,2025-01-01 11:35:55.538002,67.8,POS,Apple Store,"Lagos, NG",6.495116788131652,3.4195812625059454,Approved,False,,False,False,
TXN-242348,ACC-00181,2025-01-01 11:39:47.182647,84.67,Wire,Uber,"Chicago, US",41.91170387032773,-87.59102736146183,Approved,False,,False,False,
TXN-632261,ACC-00030,2025-01-01 11:40:36.580115,869.48,ACH,Target,"Seattle, US",47.61368957103331,-122.31642602812596,Approved,False,,False,False,
TXN-372864,ACC-00076,2025-01-01 11:45:46.142638,59.33,ATM,Shell Gas,"Denver, US",39.69535378409032,-105.00846913587617,Approved,False,,False,False,
TXN-350878,ACC-00105,2025-01-01 11:49:40.986017,399.18,ACH,Starbucks,"Seattle, US",47.625053869187425,-122.30440889405912,Approved,False,,False,False,
TXN-248468,ACC-00114,2025-01-01 12:05:45.149693,17.81,ATM,Airbnb,"Dallas, US",32.82517828606442,-96.7717266381341,Approved,False,,False,False,
TXN-476149,ACC-00085,2025-01-01 12:08:14.043074,23.74,ATM,Best Buy,"London, UK",51.5423312097507,-0.13774373987429,Approved,False,,False,False,
TXN-519095,ACC-00105,2025-01-01 12:08:29.927413,26.77,ACH,Airbnb,"Dallas, US",32.8083724782684,-96.76374255990716,Approved,False,,False,False,
TXN-158777,ACC-00178,2025-01-01 12:08:59.996462,140.7,P2P,Shell Gas,"Austin, US",30.286261699661434,-97.7855264447353,Approved,False,,False,False,
TXN-789719,ACC-00172,2025-01-01 12:15:35.495688,69.86,ACH,Amazon,"Dallas, US",32.80622227440774,-96.8095918893402,Approved,False,,False,False,
TXN-311915,ACC-00109,2025-01-01 12:15:56.058574,261.2,P2P,Amazon,"Houston, US",29.786519402035584,-95.3574846999785,Approved,False,,False,False,
TXN-886363,ACC-00018,2025-01-01 12:16:23.499038,17.78,Wire,Amazon,"Houston, US",29.75004110701694,-95.37420884432402,Approved,False,,False,False,
TXN-310036,ACC-00002,2025-01-01 12:33:22.659642,35.5,POS,Amazon,"Los Angeles, US",34.057268652567295,-118.1974706965396,Approved,False,,False,False,
TXN-195528,ACC-00040,2025-01-01 12:49:11.320244,224.83,ACH,CVS Pharmacy,"New York, US",40.67831115951026,-74.01934225305325,Approved,False,,False,False,
TXN-255335,ACC-00185,2025-01-01 12:49:18.269525,23.03,POS,Shell Gas,"Chicago, US",41.87013521058565,-87.6081584693142,Approved,False,,False,False,
TXN-776096,ACC-00060,2025-01-01 12:49:53.184721,67.99,POS,Target,"Dallas, US",32.7561035477086,-96.79777724501204,Approved,False,,False,False,
TXN-700067,ACC-00096,2025-01-01 12:51:16.573675,30.66,P2P,Best Buy,"Miami, US",25.77002623465562,-80.15666457975802,Approved,False,,False,False,
TXN-400548,ACC-00162,2025-01-01 12:59:10.990870,14.14,ATM,Uber,"Lagos, NG",6.485673089845441,3.3893703937157578,Approved,False,,False,False,
TXN-930241,ACC-00131,2025-01-01 12:59:28.508368,505.9,POS,Starbucks,"Denver, US",39.74060275981944,-104.94103755595157,Approved,False,,False,False,
TXN-847385,ACC-00089,2025-01-01 13:07:27.235505,534.53,Online,Best Buy,"Miami, US",25.752417893479592,-80.2321607528056,Approved,False,,False,False,
TXN-173807,ACC-00156,2025-01-01 13:20:03.242206,303.77,Wire,Netflix,"Los Angeles, US",34.01343058323829,-118.21670272042485,Approved,False,,False,False,
TXN-204823,ACC-00042,2025-01-01 13:20:57.254462,205.08,P2P,Shell Gas,"Dallas, US",32.80011449540441,-96.79976660563715,Approved,False,,False,False,
TXN-473838,ACC-00176,2025-01-01 13:22:46.849444,39.99,P2P,Costco,"London, UK",51.487006683515425,-0.1097123271500836,Approved,False,,False,False,
TXN-396765,ACC-00024,2025-01-01 13:25:57.413273,130.91,ATM,CVS Pharmacy,"Miami, US",25.726339053786415,-80.23547335191037,Approved,False,,False,False,
TXN-288085,ACC-00001,2025-01-01 13:29:20.386949,26.94,ATM,Home Depot,"Chicago, US",41.89258898703905,-87.62447356376276,Approved,False,,False,False,
TXN-676276,ACC-00199,2025-01-01 13:50:13.129134,121.46,P2P,Uber,"Boston, US",42.34427328392576,-71.01986162238555,Approved,False,,False,False,
TXN-966384,ACC-00126,2025-01-01 13:51:08.625369,289.84,Online,Netflix,"Houston, US",29.80399398357784,-95.38211603072978,Approved,False,,False,False,
TXN-775143,ACC-00186,2025-01-01 13:59:51.318107,27.89,ATM,Home Depot,"Boston, US",42.32725231563424,-71.10515318135072,Approved,False,,False,False,
TXN-223928,ACC-00035,2025-01-01 14:02:35.401102,16.58,ACH,Target,"Austin, US",30.274984861057227,-97.76393255577848,Approved,False,,False,False,
TXN-856254,ACC-00112,2025-01-01 14:15:23.087862,139.22,Online,Airbnb,"Lagos, NG",6.526722139799856,3.3988689141664827,Approved,False,,False,False,
TXN-278593,ACC-00157,2025-01-01 14:15:43.554455,90.59,POS,Airbnb,"Austin, US",30.317104024474038,-97.71471597969894,Approved,False,,False,False,
TXN-279185,ACC-00164,2025-01-01 14:24:04.303357,17.72,ACH,Costco,"Miami, US",25.73032871159528,-80.23270804966211,Approved,False,,False,False,
TXN-234082,ACC-00118,2025-01-01 14:29:06.680285,51.05,POS,Starbucks,"Austin, US",30.260055987645025,-97.783784954753,Approved,False,,False,False,
TXN-928611,ACC-00138,2025-01-01 14:43:07.854720,44.1,P2P,Uber,"Denver, US",39.72398954021455,-105.02868072415605,Approved,False,,False,False,
TXN-993419,ACC-00031,2025-01-01 14:44:12.319166,38.45,Wire,Starbucks,"Los Angeles, US",34.04872988617035,-118.26079808084377,Approved,False,,False,False,
TXN-693677,ACC-00140,2025-01-01 14:54:21.722629,19.27,Wire,Best Buy,"Dallas, US",32.754921359423044,-96.76510039822638,Approved,False,,False,False,
TXN-875089,ACC-00143,2025-01-01 14:55:08.369555,28.52,Online,Airbnb,"Houston, US",29.77253483930589,-95.40593887841558,Approved,False,,False,False,
TXN-835363,ACC-00126,2025-01-01 15:01:22.639707,509.16,Online,Airbnb,"Miami, US",25.767686186874144,-80.22724277968774,Approved,False,,False,False,
TXN-644675,ACC-00086,2025-01-01 15:08:33.123492,36.89,ATM,Best Buy,"Miami, US",25.762788752942114,-80.20188405126092,Approved,False,,False,False,
TXN-684080,ACC-00149,2025-01-01 15:18:35.443949,470.93,ATM,Costco,"New York, US",40.72912999609723,-74.00233839870666,Approved,False,,False,False,
